t(ticks); id_viat ; destin ; t_estacion ; t_vida 
5        ;       0 ;    O   ;          5 ;      5 
10       ;       1 ;    O   ;          8 ;      8 
6        ;       2 ;    O   ;          1 ;      1 
8        ;       3 ;    N   ;          2 ;      2 
10       ;       4 ;    E   ;          3 ;      3 
9        ;       5 ;    O   ;          1 ;      1 
10       ;       6 ;    N   ;          1 ;      1 
14       ;       7 ;    N   ;          3 ;      3 
20       ;       8 ;    O   ;          8 ;      8 
18       ;       9 ;    E   ;          3 ;      3 
24       ;      10 ;    E   ;          7 ;      7 
20       ;      11 ;    S   ;          2 ;      2 
20       ;      12 ;    N   ;          1 ;      1 
21       ;      13 ;    O   ;          1 ;      1 
24       ;      14 ;    O   ;          2 ;      2 
25       ;      15 ;    S   ;          1 ;      1 
36       ;      16 ;    O   ;          9 ;      9 
32       ;      17 ;    E   ;          2 ;      2 
34       ;      18 ;    N   ;          3 ;      3 
41       ;      19 ;    E   ;          9 ;      9 
41       ;      20 ;    E   ;          7 ;      7 
38       ;      21 ;    N   ;          3 ;      3 
38       ;      22 ;    S   ;          1 ;      1 
43       ;      23 ;    O   ;          4 ;      4 
51       ;      24 ;    E   ;          9 ;      9 
45       ;      25 ;    S   ;          2 ;      2 
52       ;      26 ;    E   ;          8 ;      8 
47       ;      27 ;    S   ;          2 ;      2 
57       ;      28 ;    O   ;         10 ;     10 
58       ;      29 ;    E   ;          8 ;      8 
55       ;      30 ;    S   ;          2 ;      2 
65       ;      31 ;    S   ;         10 ;     10 
67       ;      32 ;    O   ;         10 ;     10 
59       ;      33 ;    N   ;          1 ;      1 
69       ;      34 ;    N   ;         10 ;     10 
65       ;      35 ;    N   ;          5 ;      5 
72       ;      36 ;    S   ;         10 ;     10 
68       ;      37 ;    E   ;          5 ;      5 
71       ;      38 ;    N   ;          6 ;      6 
75       ;      39 ;    E   ;          8 ;      8 
76       ;      40 ;    O   ;          8 ;      8 
74       ;      41 ;    S   ;          3 ;      3 
76       ;      42 ;    N   ;          2 ;      2 
80       ;      43 ;    E   ;          3 ;      3 
81       ;      44 ;    E   ;          3 ;      3 
84       ;      45 ;    E   ;          5 ;      5 
83       ;      46 ;    O   ;          2 ;      2 
87       ;      47 ;    E   ;          4 ;      4 
86       ;      48 ;    O   ;          2 ;      2 
96       ;      49 ;    N   ;          9 ;      9 
96       ;      50 ;    O   ;          6 ;      6 
101      ;      51 ;    S   ;          9 ;      9 
95       ;      52 ;    E   ;          2 ;      2 
98       ;      53 ;    S   ;          4 ;      4 
98       ;      54 ;    N   ;          2 ;      2 
104      ;      55 ;    E   ;          6 ;      6 
105      ;      56 ;    N   ;          6 ;      6 
111      ;      57 ;    E   ;         10 ;     10 
103      ;      58 ;    N   ;          1 ;      1 
105      ;      59 ;    S   ;          2 ;      2 
113      ;      60 ;    N   ;          9 ;      9 
111      ;      61 ;    E   ;          6 ;      6 
108      ;      62 ;    N   ;          2 ;      2 
114      ;      63 ;    E   ;          7 ;      7 
116      ;      64 ;    O   ;          7 ;      7 
119      ;      65 ;    S   ;          9 ;      9 
120      ;      66 ;    O   ;          8 ;      8 
119      ;      67 ;    E   ;          6 ;      6 
122      ;      68 ;    S   ;          8 ;      8 
116      ;      69 ;    N   ;          1 ;      1 
119      ;      70 ;    N   ;          2 ;      2 
121      ;      71 ;    E   ;          2 ;      2 
121      ;      72 ;    O   ;          1 ;      1 
126      ;      73 ;    E   ;          5 ;      5 
126      ;      74 ;    O   ;          4 ;      4 
128      ;      75 ;    N   ;          3 ;      3 
133      ;      76 ;    E   ;          6 ;      6 
130      ;      77 ;    S   ;          1 ;      1 
136      ;      78 ;    O   ;          6 ;      6 
137      ;      79 ;    O   ;          6 ;      6 
133      ;      80 ;    O   ;          1 ;      1 
140      ;      81 ;    N   ;          7 ;      7 
139      ;      82 ;    S   ;          4 ;      4 
140      ;      83 ;    O   ;          3 ;      3 
148      ;      84 ;    O   ;         10 ;     10 
150      ;      85 ;    E   ;         10 ;     10 
147      ;      86 ;    E   ;          4 ;      4 
146      ;      87 ;    E   ;          1 ;      1 
157      ;      88 ;    E   ;         10 ;     10 
152      ;      89 ;    N   ;          4 ;      4 
154      ;      90 ;    O   ;          3 ;      3 
161      ;      91 ;    O   ;          9 ;      9 
162      ;      92 ;    O   ;          8 ;      8 
156      ;      93 ;    E   ;          1 ;      1 
161      ;      94 ;    N   ;          5 ;      5 
165      ;      95 ;    O   ;          7 ;      7 
169      ;      96 ;    N   ;          9 ;      9 
167      ;      97 ;    O   ;          6 ;      6 
170      ;      98 ;    E   ;          8 ;      8 
173      ;      99 ;    O   ;         10 ;     10 
171      ;     100 ;    S   ;          6 ;      6 
175      ;     101 ;    S   ;          7 ;      7 
177      ;     102 ;    S   ;          8 ;      8 
179      ;     103 ;    S   ;          7 ;      7 
182      ;     104 ;    O   ;          9 ;      9 
184      ;     105 ;    O   ;         10 ;     10 
177      ;     106 ;    N   ;          2 ;      2 
182      ;     107 ;    N   ;          4 ;      4 
182      ;     108 ;    S   ;          2 ;      2 
186      ;     109 ;    E   ;          5 ;      5 
190      ;     110 ;    S   ;          8 ;      8 
188      ;     111 ;    O   ;          3 ;      3 
190      ;     112 ;    O   ;          3 ;      3 
192      ;     113 ;    E   ;          4 ;      4 
199      ;     114 ;    N   ;         10 ;     10 
191      ;     115 ;    N   ;          1 ;      1 
200      ;     116 ;    S   ;          9 ;      9 
197      ;     117 ;    N   ;          5 ;      5 
202      ;     118 ;    N   ;          7 ;      7 
205      ;     119 ;    O   ;          9 ;      9 
206      ;     120 ;    S   ;          8 ;      8 
207      ;     121 ;    O   ;          7 ;      7 
211      ;     122 ;    O   ;          8 ;      8 
213      ;     123 ;    N   ;          9 ;      9 
215      ;     124 ;    E   ;          9 ;      9 
212      ;     125 ;    O   ;          4 ;      4 
212      ;     126 ;    N   ;          1 ;      1 
222      ;     127 ;    N   ;          9 ;      9 
217      ;     128 ;    O   ;          3 ;      3 
217      ;     129 ;    O   ;          2 ;      2 
223      ;     130 ;    N   ;          5 ;      5 
226      ;     131 ;    O   ;          6 ;      6 
228      ;     132 ;    N   ;          7 ;      7 
226      ;     133 ;    S   ;          4 ;      4 
225      ;     134 ;    O   ;          2 ;      2 
225      ;     135 ;    O   ;          1 ;      1 
229      ;     136 ;    E   ;          3 ;      3 
229      ;     137 ;    E   ;          1 ;      1 
238      ;     138 ;    E   ;          8 ;      8 
239      ;     139 ;    N   ;          8 ;      8 
236      ;     140 ;    E   ;          4 ;      4 
243      ;     141 ;    S   ;          9 ;      9 
240      ;     142 ;    S   ;          5 ;      5 
240      ;     143 ;    S   ;          4 ;      4 
248      ;     144 ;    E   ;         10 ;     10 
247      ;     145 ;    E   ;          7 ;      7 
244      ;     146 ;    S   ;          1 ;      1 
249      ;     147 ;    N   ;          5 ;      5 
250      ;     148 ;    O   ;          5 ;      5 
253      ;     149 ;    E   ;          5 ;      5 
257      ;     150 ;    N   ;          7 ;      7 
256      ;     151 ;    O   ;          5 ;      5 
260      ;     152 ;    S   ;          8 ;      8 
261      ;     153 ;    S   ;          7 ;      7 
263      ;     154 ;    S   ;          8 ;      8 
258      ;     155 ;    S   ;          2 ;      2 
262      ;     156 ;    E   ;          4 ;      4 
263      ;     157 ;    N   ;          2 ;      2 
264      ;     158 ;    E   ;          2 ;      2 
265      ;     159 ;    O   ;          2 ;      2 
270      ;     160 ;    N   ;          5 ;      5 
274      ;     161 ;    N   ;          8 ;      8 
272      ;     162 ;    E   ;          5 ;      5 
275      ;     163 ;    O   ;          6 ;      6 
276      ;     164 ;    N   ;          5 ;      5 
273      ;     165 ;    O   ;          1 ;      1 
279      ;     166 ;    S   ;          5 ;      5 
278      ;     167 ;    O   ;          1 ;      1 
279      ;     168 ;    O   ;          1 ;      1 
282      ;     169 ;    N   ;          3 ;      3 
282      ;     170 ;    E   ;          1 ;      1 
285      ;     171 ;    E   ;          3 ;      3 
290      ;     172 ;    E   ;          7 ;      7 
294      ;     173 ;    O   ;          9 ;      9 
289      ;     174 ;    O   ;          3 ;      3 
296      ;     175 ;    N   ;          8 ;      8 
292      ;     176 ;    S   ;          1 ;      1 
298      ;     177 ;    E   ;          6 ;      6 
300      ;     178 ;    S   ;          6 ;      6 
304      ;     179 ;    S   ;          8 ;      8 
307      ;     180 ;    S   ;          8 ;      8 
306      ;     181 ;    N   ;          6 ;      6 
303      ;     182 ;    O   ;          2 ;      2 
314      ;     183 ;    S   ;         10 ;     10 
309      ;     184 ;    S   ;          3 ;      3 
309      ;     185 ;    N   ;          2 ;      2 
317      ;     186 ;    E   ;          7 ;      7 
312      ;     187 ;    O   ;          1 ;      1 
314      ;     188 ;    O   ;          1 ;      1 
320      ;     189 ;    O   ;          6 ;      6 
322      ;     190 ;    O   ;          7 ;      7 
320      ;     191 ;    O   ;          4 ;      4 
327      ;     192 ;    O   ;          9 ;      9 
323      ;     193 ;    S   ;          2 ;      2 
334      ;     194 ;    E   ;         10 ;     10 
329      ;     195 ;    N   ;          4 ;      4 
334      ;     196 ;    N   ;          8 ;      8 
335      ;     197 ;    O   ;          6 ;      6 
339      ;     198 ;    O   ;          9 ;      9 
341      ;     199 ;    N   ;         10 ;     10 
343      ;     200 ;    E   ;          9 ;      9 
345      ;     201 ;    N   ;          8 ;      8 
339      ;     202 ;    N   ;          1 ;      1 
341      ;     203 ;    O   ;          2 ;      2 
342      ;     204 ;    S   ;          2 ;      2 
344      ;     205 ;    S   ;          3 ;      3 
346      ;     206 ;    S   ;          3 ;      3 
351      ;     207 ;    N   ;          6 ;      6 
351      ;     208 ;    E   ;          5 ;      5 
356      ;     209 ;    N   ;          9 ;      9 
352      ;     210 ;    N   ;          4 ;      4 
359      ;     211 ;    E   ;         10 ;     10 
354      ;     212 ;    O   ;          2 ;      2 
360      ;     213 ;    E   ;          5 ;      5 
364      ;     214 ;    N   ;          8 ;      8 
361      ;     215 ;    N   ;          4 ;      4 
365      ;     216 ;    N   ;          5 ;      5 
366      ;     217 ;    N   ;          5 ;      5 
374      ;     218 ;    O   ;         10 ;     10 
371      ;     219 ;    N   ;          6 ;      6 
373      ;     220 ;    E   ;          6 ;      6 
372      ;     221 ;    N   ;          2 ;      2 
374      ;     222 ;    S   ;          1 ;      1 
377      ;     223 ;    N   ;          3 ;      3 
385      ;     224 ;    O   ;          8 ;      8 
385      ;     225 ;    O   ;          6 ;      6 
382      ;     226 ;    S   ;          2 ;      2 
387      ;     227 ;    S   ;          5 ;      5 
385      ;     228 ;    O   ;          2 ;      2 
387      ;     229 ;    E   ;          1 ;      1 
391      ;     230 ;    S   ;          3 ;      3 
395      ;     231 ;    O   ;          6 ;      6 
398      ;     232 ;    N   ;          7 ;      7 
396      ;     233 ;    S   ;          2 ;      2 
402      ;     234 ;    S   ;          7 ;      7 
408      ;     235 ;    N   ;         10 ;     10 
408      ;     236 ;    N   ;          9 ;      9 
402      ;     237 ;    E   ;          2 ;      2 
405      ;     238 ;    E   ;          4 ;      4 
404      ;     239 ;    N   ;          2 ;      2 
406      ;     240 ;    O   ;          3 ;      3 
411      ;     241 ;    O   ;          6 ;      6 
414      ;     242 ;    O   ;          8 ;      8 
411      ;     243 ;    E   ;          4 ;      4 
409      ;     244 ;    S   ;          1 ;      1 
416      ;     245 ;    S   ;          5 ;      5 
417      ;     246 ;    E   ;          3 ;      3 
424      ;     247 ;    N   ;          7 ;      7 
421      ;     248 ;    S   ;          3 ;      3 
420      ;     249 ;    O   ;          1 ;      1 
429      ;     250 ;    O   ;          8 ;      8 
432      ;     251 ;    O   ;          8 ;      8 
430      ;     252 ;    S   ;          5 ;      5 
427      ;     253 ;    S   ;          1 ;      1 
436      ;     254 ;    N   ;          8 ;      8 
435      ;     255 ;    S   ;          5 ;      5 
434      ;     256 ;    O   ;          3 ;      3 
443      ;     257 ;    O   ;         10 ;     10 
441      ;     258 ;    E   ;          7 ;      7 
444      ;     259 ;    S   ;          8 ;      8 
440      ;     260 ;    N   ;          3 ;      3 
443      ;     261 ;    E   ;          4 ;      4 
442      ;     262 ;    N   ;          1 ;      1 
448      ;     263 ;    N   ;          6 ;      6 
448      ;     264 ;    O   ;          4 ;      4 
449      ;     265 ;    E   ;          3 ;      3 
459      ;     266 ;    S   ;         10 ;     10 
455      ;     267 ;    N   ;          5 ;      5 
455      ;     268 ;    S   ;          4 ;      4 
459      ;     269 ;    O   ;          7 ;      7 
464      ;     270 ;    S   ;          9 ;      9 
457      ;     271 ;    E   ;          1 ;      1 
460      ;     272 ;    O   ;          2 ;      2 
466      ;     273 ;    E   ;          6 ;      6 
469      ;     274 ;    S   ;          8 ;      8 
472      ;     275 ;    E   ;          8 ;      8 
469      ;     276 ;    E   ;          4 ;      4 
472      ;     277 ;    E   ;          6 ;      6 
472      ;     278 ;    O   ;          4 ;      4 
