t(ticks) ; nlug ; id_viat ; observ
0        ;   29 ;       0 ; parking
2        ;   28 ;       1 ; parking
5        ;   27 ;       2 ; parking
5        ;   28 ;       0 ; exit
6        ;   29 ;       2 ; exit
6        ;   28 ;       3 ; parking
7        ;   27 ;       4 ; parking
8        ;   26 ;       5 ; parking
8        ;   27 ;       3 ; exit
9        ;   28 ;       5 ; exit
10       ;   29 ;       1 ; exit
11       ;   28 ;       7 ; parking
10       ;   29 ;       4 ; exit
11       ;   28 ;       7 ; parking
12       ;   27 ;       8 ; parking
14       ;   28 ;       7 ; exit
14       ;   29 ;       7 ; exit
15       ;   28 ;       9 ; parking
17       ;   27 ;      10 ; parking
18       ;   26 ;      11 ; parking
19       ;   25 ;      12 ; parking
18       ;   26 ;       9 ; exit
20       ;   27 ;      11 ; exit
20       ;   28 ;      12 ; exit
20       ;   29 ;       8 ; exit
20       ;   28 ;      13 ; parking
22       ;   27 ;      14 ; parking
21       ;   28 ;      13 ; exit
24       ;   29 ;      10 ; exit
24       ;   28 ;      15 ; parking
24       ;   29 ;      14 ; exit
25       ;   30 ;      15 ; exit
27       ;   29 ;      16 ; parking
30       ;   28 ;      17 ; parking
31       ;   27 ;      18 ; parking
32       ;   28 ;      17 ; exit
32       ;   27 ;      19 ; parking
34       ;   26 ;      20 ; parking
34       ;   27 ;      18 ; exit
35       ;   26 ;      21 ; parking
36       ;   27 ;      16 ; exit
37       ;   26 ;      22 ; parking
38       ;   27 ;      21 ; exit
38       ;   28 ;      22 ; exit
39       ;   27 ;      23 ; parking
41       ;   28 ;      20 ; exit
41       ;   29 ;      19 ; exit
42       ;   28 ;      24 ; parking
43       ;   27 ;      25 ; parking
43       ;   28 ;      23 ; exit
44       ;   27 ;      26 ; parking
45       ;   28 ;      25 ; exit
45       ;   27 ;      27 ; parking
47       ;   28 ;      27 ; exit
47       ;   27 ;      28 ; parking
50       ;   26 ;      29 ; parking
51       ;   27 ;      24 ; exit
52       ;   28 ;      26 ; exit
53       ;   27 ;      30 ; parking
55       ;   28 ;      30 ; exit
55       ;   27 ;      31 ; parking
57       ;   26 ;      32 ; parking
57       ;   27 ;      28 ; exit
